iter	Passed	Remaining
0	51	259172
1	100	252000
2	147	245886
3	194	242339
4	237	237179
5	291	242391
6	342	244454
7	394	246207
8	459	254794
9	520	259785
10	577	261848
11	639	265765
12	689	264660
13	756	269284
14	809	269157
15	867	270302
16	924	270869
17	986	273055
18	1057	277176
19	1111	276719
20	1178	279496
21	1246	282142
22	1299	281292
23	1359	281815
24	1411	280952
25	1470	281411
26	1530	281968
27	1584	281412
28	1636	280490
29	1700	281754
30	1759	282010
31	1817	282105
32	1869	281439
33	1922	280856
34	1972	279844
35	2022	278928
36	2078	278789
37	2138	279235
38	2192	278853
39	2247	278641
40	2299	278184
41	2353	277826
42	2406	277442
43	2456	276729
44	2511	276548
45	2580	277854
46	2649	279183
47	2712	279813
48	2777	280632
49	2843	281489
50	2899	281386
51	2958	281550
52	3027	282615
53	3098	283804
54	3157	283903
55	3217	284017
56	3279	284356
57	3337	284338
58	3390	283978
59	3442	283441
60	3500	283460
61	3565	283957
62	3623	283977
63	3681	283966
64	3744	284292
65	3810	284879
66	3868	284801
67	3924	284614
68	3978	284315
69	4086	287773
70	4229	293648
71	4304	294642
72	4384	295931
73	4442	295723
74	4506	295913
75	4563	295687
76	4613	294994
77	4670	294714
78	4734	294895
79	4804	295475
80	4857	294988
81	4917	294919
82	4974	294697
83	5028	294266
84	5084	294000
85	5139	293645
86	5201	293717
87	5253	293257
88	5307	292872
89	5373	293157
90	5435	293235
91	5507	293796
92	5561	293421
93	5619	293312
94	5688	293720
95	5750	293774
96	5809	293629
97	5867	293491
98	5937	293939
99	5998	293911
100	6048	293391
101	6103	293111
102	6160	292889
103	6213	292509
104	6264	292051
105	6315	291571
106	6380	291762
107	6434	291442
108	6487	291093
109	6542	290863
110	6607	291020
111	6661	290719
112	6714	290400
113	6764	289925
114	6835	290342
115	6883	289830
116	6934	289408
117	6987	289105
118	7043	288913
119	7098	288674
120	7149	288268
121	7201	287951
122	7263	288016
123	7326	288112
124	7380	287825
125	7425	287230
126	7477	286908
127	7530	286630
128	7580	286249
129	7628	285786
130	7691	285872
131	7755	286025
132	7809	285781
133	7859	285421
134	7911	285118
135	7968	285000
136	8028	284965
137	8091	285063
138	8159	285333
139	8221	285419
140	8276	285232
141	8333	285093
142	8396	285181
143	8466	285518
144	8530	285640
145	8596	285800
146	8677	286463
147	8741	286571
148	8807	286753
149	8870	286808
150	8935	286956
151	8993	286830
152	9047	286607
153	9102	286425
154	9154	286152
155	9213	286090
156	9268	285919
157	9324	285765
158	9374	285413
159	9440	285580
160	9494	285351
161	9545	285053
162	9593	284681
163	9657	284785
164	9713	284641
165	9771	284565
166	9824	284332
167	9881	284216
168	9936	284031
169	9989	283814
170	10042	283608
171	10093	283317
172	10152	283267
173	10211	283230
174	10268	283105
175	10305	282472
176	10358	282255
177	10397	281670
178	10439	281165
179	10481	280674
180	10522	280157
181	10579	280066
182	10621	279594
183	10666	279191
184	10707	278690
185	10757	278429
186	10800	277976
187	10850	277734
188	10897	277405
189	10943	277044
